"コード","銘柄名","市場","現在値","前日比(%)","PER(株価収益率)(倍)","PBR(株価純資産倍率)(倍)","ROE(自己資本利益率)(%)","売上高変化率(%)"
"6914","オプテックスグループ","東P","1659","-38.0(-2.24%)","10.38","1.18","12.20","12.23"
"6966","三井ハイテック","東P","836","-62.0(-6.90%)","9.83","1.58","17.60","12.18"
"7003","三井Ｅ＆Ｓ","東P","1583","-21.0(-1.31%)","6.19","1.20","20.20","15.09"
"7004","カナデビア","東P","909","-4.0(-0.44%)","8.06","0.94","12.60","12.82"
"7071","アンビスＨＬＤＧ","東P","653","-19.0(-2.83%)","8.61","1.92","24.90","32.80"
"7130","ヤマエグループＨＬＤＧ","東P","2287","+27.0(+1.19%)","6.59","0.70","10.90","21.21"
"7172","ジャパンインベストメントアドバ","東P","1771","-26.0(-1.45%)","13.30","1.60","14.00","42.68"
"7203","トヨタ自動車","東P","2689.0","-95.0(-3.41%)","7.35","1.06","15.80","21.37"
"7211","三菱自動車工業","東P","416.8","-7.5(-1.77%)","4.01","0.61","17.10","13.48"
"7241","フタバ産業","東P","750","-12.0(-1.57%)","5.23","0.54","11.70","12.39"
"7261","マツダ","東P","1008.0","-28.0(-2.70%)","3.06","0.37","13.10","26.16"
"7270","ＳＵＢＡＲＵ","東P","2753.5","-122.5(-4.26%)","5.41","0.81","16.50","24.60"
"7282","豊田合成","東P","2640.5","-72.5(-2.67%)","6.60","0.64","10.60","12.53"
"7419","ノジマ","東P","2484","+39.0(+1.60%)","12.20","1.38","12.10","21.58"
"7458","第一興商","東P","1595.5","-21.5(-1.33%)","13.64","1.58","11.70","14.51"
"7466","ＳＰＫ","東P","2082","-17.0(-0.81%)","8.74","0.85","10.30","15.74"
"7525","リックス","東P","2921","-31.0(-1.05%)","8.50","1.00","12.40","10.01"
"7552","ハピネット","東P","4760","-125.0(-2.56%)","16.11","2.07","13.80","14.06"
"7595","アルゴグラフィックス","東P","5030","+70.0(+1.41%)","16.44","2.14","14.20","11.55"
"7679","薬王堂ＨＬＤＧ","東P","1833","-32.0(-1.72%)","9.39","1.08","12.10","10.44"
"7683","ダブルエー","東P","1196","-25.0(-2.05%)","19.59","2.29","12.40","20.81"
"7715","長野計器","東P","1887","-52.0(-2.68%)","6.65","0.91","15.00","12.21"
"7730","マニー","東P","1343.0","-29.5(-2.15%)","21.04","2.53","12.30","16.44"
"7740","タムロン","東P","3680","-25.0(-0.67%)","10.47","1.84","19.00","23.87"
"7821","前田工繊","東P","1806","+21.0(+1.18%)","14.19","1.96","15.10","11.21"
"7931","未来工業","東P","3515","-45.0(-1.26%)","11.54","1.13","10.30","11.43"
"7956","ピジョン","東P","1584.0","-16.5(-1.03%)","22.63","2.33","10.50","10.28"
"8007","高島","東P","1293","-10.0(-0.77%)","4.74","0.95","22.40","13.10"
"8057","内田洋行","東P","6890","-40.0(-0.58%)","9.69","1.06","12.10","12.73"
"8059","第一実業","東P","2399","-7.0(-0.29%)","10.19","1.04","10.90","22.20"
"8142","トーホー","東P","2507","-50.0(-1.96%)","7.48","0.99","14.50","13.62"
"8237","松屋","東P","1077","-17.0(-1.55%)","21.72","2.20","11.00","19.92"
"8410","セブン銀行","東P","290.8","-3.0(-1.02%)","10.67","1.26","12.20","27.68"
"8425","みずほリース","東P","1031","-7.0(-0.67%)","7.11","0.81","12.30","23.87"
"8515","アイフル","東P","345","-5.0(-1.43%)","7.65","0.84","11.70","13.15"
"8628","松井証券","東P","798","-8.0(-0.99%)","20.97","2.69","12.90","29.40"
"8698","マネックスグループ","東P","752","-19.0(-2.46%)","6.18","1.47","27.10","19.62"
"8739","スパークス・グループ","東P","1556","-5.0(-0.32%)","9.50","1.96","22.70","23.50"
"8766","東京海上ＨＬＤＧ","東P","5297.0","+70.0(+1.34%)","15.07","2.02","15.90","12.32"
"8804","東京建物","東P","2389.5","-50.0(-2.05%)","7.57","0.93","12.80","23.35"
"8892","日本エスコン","東P","1025","-14.0(-1.35%)","9.72","1.35","14.50","19.54"
"8897","ＭＩＲＡＲＴＨＨＬＤＧ","東P","510","-2.0(-0.39%)","6.86","0.85","12.90","20.67"
"9006","京浜急行電鉄","東P","1470.0","+2.0(+0.14%)","4.83","1.14","26.70","10.92"
"9009","京成電鉄","東P","1433.5","-15.5(-1.07%)","8.20","1.55","20.70","17.50"
"9090","ＡＺ−ＣＯＭ丸和ＨＬＤＧ","東P","1197","-6.0(-0.50%)","16.89","2.93","20.00","11.65"
"9161","ＩＤ＆Ｅ　ＨＬＤＧ","東P","6460","+0.0(+0.00%)","10.06","1.07","11.30","12.33"
"9201","日本航空","東P","2581.5","-23.5(-0.90%)","11.81","1.24","11.10","20.09"
"9202","ＡＮＡ　ＨＬＤＧ","東P","2850.0","+1.5(+0.05%)","8.51","1.28","16.50","20.41"
"9229","サンウェルズ","東P","685","-24.0(-3.39%)","10.16","2.90","32.50","55.72"
"9384","内外トランスライン","東P","2450","-21.0(-0.85%)","7.58","1.08","15.10","17.77"
"9519","レノバ","東P","682","-21.0(-2.99%)","6.07","0.79","16.00","33.25"
"9602","東宝","東P","7086.0","-109.0(-1.51%)","27.31","2.69","10.40","15.99"
"9616","共立メンテナンス","東P","3007.0","-25.0(-0.82%)","18.90","2.71","15.40","16.23"
"9692","シーイーシー","東P","1852","+25.0(+1.37%)","13.70","1.53","11.60","10.20"
"9706","日本空港ビルデング","東P","4470.0","-34.0(-0.75%)","21.62","2.48","12.10","92.47"
"9793","ダイセキ","東P","3650","-20.0(-0.54%)","18.91","2.21","12.00","18.17"
"9850","グルメ杵屋","東P","1070","-10.0(-0.93%)","22.32","2.80","13.30","23.88"
"9960","東テク","東P","2408","-30.0(-1.23%)","14.13","1.85","14.20","11.08"
"9974","ベルク","東P","6610","+0.0(+0.00%)","12.90","1.38","11.20","13.20"
