"コード","銘柄名","市場","現在値","前日比(%)","PER(株価収益率)(倍)","PBR(株価純資産倍率)(倍)","ROE(自己資本利益率)(%)","売上高変化率(%)"
"5726","大阪チタニウムテクノロジーズ","東P","1716","-52.0(-2.94%)","6.52","1.64","28.10","28.43"
"5834","ＳＢＩリーシングサービス","東G","3320","-35.0(-1.04%)","7.49","1.22","17.70","36.83"
"5842","インテグラル","東G","3450","-55.0(-1.57%)","6.33","2.02","37.10","121.76"
"5843","ニッポンインシュア","東S","1515","+2.0(+0.13%)","15.04","2.14","18.20","11.98"
"5857","ＡＲＥＨＬＤＧ","東P","1851","-18.0(-0.96%)","5.79","1.12","21.00","17.52"
"5858","ＳＴＧ","東G","3235","-100.0(-3.00%)","13.59","1.85","13.50","11.92"
"5888","ＤＡＩＷＡ　ＣＹＣＬＥ","東G","3640","+5.0(+0.14%)","15.68","2.09","12.60","17.18"
"5891","魁力屋","東S","1715","-43.0(-2.45%)","17.76","1.96","11.50","15.96"
"5903","シンポ","東S","1247","+15.0(+1.22%)","10.68","1.04","10.10","12.85"
"5930","文化シヤッター","東P","1850","+2.0(+0.11%)","11.78","1.27","11.40","10.99"
"5953","昭和鉄工","福","3400","+0.0(+0.00%)","2.67","0.32","14.60","12.23"
"5991","ニッパツ","東P","1670.5","-47.5(-2.76%)","9.64","0.91","10.40","10.63"
"6016","ジャパンエンジン","東S","3310","-125.0(-3.64%)","10.89","2.85","29.80","37.52"
"6023","ダイハツディーゼル","東S","1744","-12.0(-0.68%)","10.71","1.09","10.70","13.40"
"6033","エクストリーム","東G","1291","-30.0(-2.27%)","6.87","1.36","21.90","15.90"
"6037","楽待","東S","716","-9.0(-1.24%)","19.17","2.74","15.30","12.96"
"6044","三機サービス","東S","1029","+17.0(+1.68%)","14.14","1.57","11.60","31.88"
"6061","ユニバーサル園芸社","東S","3780","-60.0(-1.56%)","10.85","1.46","14.50","22.02"
"6062","チャーム・ケア","東P","1221","-11.0(-0.89%)","9.32","2.13","25.30","26.24"
"6104","芝浦機械","東P","3565","-65.0(-1.79%)","4.81","0.77","17.80","30.40"
"6125","岡本工作機械製作所","東S","3710","-80.0(-2.11%)","3.82","0.58","16.60","10.27"
"6131","浜井産業","東S","1308","-2.0(-0.15%)","6.05","1.29","23.70","26.59"
"6223","西部技研","東S","1610","-26.0(-1.59%)","9.89","1.10","11.80","11.64"
"6237","イワキポンプ","東P","2410","-108.0(-4.29%)","11.91","1.60","14.40","18.05"
"6238","フリュー","東P","1021","-14.0(-1.35%)","10.84","1.23","11.90","17.50"
"6239","ナガオカ","東S","1208","-1.0(-0.08%)","7.25","1.21","18.20","16.66"
"6248","横田製作所","東S","1462","-12.0(-0.81%)","10.01","1.01","10.40","15.34"
"6249","ゲームカード・ジョイコＨＬＤＧ","東S","2394","+12.0(+0.50%)","4.54","0.65","15.00","67.30"
"6255","エヌ・ピー・シー","東G","920","-23.0(-2.44%)","11.82","2.05","18.90","15.85"
"6266","タツモ","東P","2323","-185.0(-7.38%)","8.01","1.41","19.30","27.36"
"6269","三井海洋開発","東P","4015","-55.0(-1.35%)","8.30","1.55","20.30","17.11"
"6294","オカダアイヨン","東P","2103","+13.0(+0.62%)","8.95","1.05","12.60","14.93"
"6305","日立建機","東P","3883.0","-58.0(-1.47%)","8.85","1.08","13.10","11.15"
"6322","タクミナ","東S","1690","-1.0(-0.06%)","10.23","1.22","12.60","13.04"
"6330","東洋エンジニアリング","東P","693","-5.0(-0.72%)","4.14","0.64","17.40","35.21"
"6340","澁谷工業","東P","3270","-55.0(-1.65%)","9.25","0.90","10.20","17.98"
"6342","太平製作所","東S","3000","-85.0(-2.76%)","3.93","0.62","16.80","37.37"
