"コード","銘柄名","市場","現在値","前日比(%)"
"4020","ビートレンド","東G","614","-8.0(-1.29%)"
"4051","ＧＭＯ　フィナンシャルゲート","東G","5420","-300.0(-5.24%)"
"4052","フィーチャ","東G","442","-5.0(-1.12%)"
"4054","日本情報クリエイト","東G","995","-35.0(-3.40%)"
"4055","ティアンドエスグループ","東G","1367","-38.0(-2.70%)"
"4056","ニューラルグループ","東G","772","-31.0(-3.86%)"
"4057","インターファクトリー","東G","472","-4.0(-0.84%)"
"4058","トヨクモ","東G","2398","+4.0(+0.17%)"
"4060","ｒａｋｕｍｏ","東G","810","-8.0(-0.98%)"
"4068","ベイシス","東G","1387","-33.0(-2.32%)"
"4069","ＢｌｕｅＭｅｍｅ","東G","1272","-6.0(-0.47%)"
"4073","ジィ・シィ企画","東G","512","-4.0(-0.78%)"
"4074","ラキール","東G","722","-9.0(-1.23%)"
"4075","ブレインズテクノロジー","東G","686","-3.0(-0.44%)"
"4076","シイエヌエス","東G","1401","-2.0(-0.14%)"
"4165","プレイド","東G","1329","-61.0(-4.39%)"
"4166","かっこ","東G","598","+1.0(+0.17%)"
"4167","ココペリ","東G","376","-13.0(-3.34%)"
"4168","ヤプリ","東G","747","+5.0(+0.67%)"
"4169","ＥＮＥＣＨＡＮＧＥ","東G","337","-10.0(-2.88%)"
"4170","Ｋａｉｚｅｎ　Ｐｌａｔｆｏｒｍ","東G","162","-3.0(-1.82%)"
"4173","ＷＡＣＵＬ","東G","305","-5.0(-1.61%)"
"4175","ｃｏｌｙ","東G","1390","+25.0(+1.83%)"
"4176","ココナラ","東G","297","-3.0(-1.00%)"
"4177","Ｉ−ＰＬＵＧ","東G","1084","-30.0(-2.69%)"
"4178","Ｓｈａｒｉｎｇ　Ｉｎｎｏｖａｔ","東G","704","-2.0(-0.28%)"
"4179","ジーネクスト","東G","408","-32.0(-7.27%)"
"4192","スパイダープラス","東G","451","-26.0(-5.45%)"
"4199","ワンダープラネット","東G","794","-35.0(-4.22%)"
"4240","クラスターテクノロジー","東G","250","-10.0(-3.85%)"
"4255","ＴＨＥＣＯＯ","東G","768","+6.0(+0.79%)"
"4256","サインド","東G","1153","-17.0(-1.45%)"
"4258","網屋","東G","3015","-105.0(-3.37%)"
"4259","エクサウィザーズ","東G","349","+8.0(+2.35%)"
"4260","ハイブリッドテクノロジーズ","東G","456","-17.0(-3.59%)"
"4261","アジアクエスト","東G","2461","-41.0(-1.64%)"
"4262","ニフティライフスタイル","東G","1165","-43.0(-3.56%)"
"4263","サスメド","東G","583","-12.0(-2.02%)"
"4264","セキュア","東G","1811","-13.0(-0.71%)"
"4265","Ｉｎｓｔｉｔｕｔｉｏｎ　ｆｏｒ","東G","254","+2.0(+0.79%)"
"4267","ライトワークス","東G","1487","-20.0(-1.33%)"
"4270","ＢｅｅＸ","東G","2757","-29.0(-1.04%)"
"4308","Ｊストリーム","東G","403","-5.0(-1.23%)"
"4316","ビーマップ","東G","350","-11.0(-3.05%)"
"4370","モビルス","東G","301","-13.0(-4.14%)"
"4371","コアコンセプト・テクノロジー","東G","1072","-24.0(-2.19%)"
"4372","ユミルリンク","東G","1455","+24.0(+1.68%)"
"4374","ＲＯＢＯＴ ＰＡＹＭＥＮＴ","東G","2234","-1.0(-0.04%)"
"4375","セーフィー","東G","754","-17.0(-2.20%)"
"4376","くふうカンパニーＨＬＤＧ","東G","206","-1.0(-0.48%)"
"4377","ワンキャリア","東G","5230","-230.0(-4.21%)"
"4378","ＣＩＮＣ","東G","602","-2.0(-0.33%)"
"4379","Ｐｈｏｔｏｓｙｎｔｈ","東G","298","-3.0(-1.00%)"
"4380","Ｍマート","東G","1197","-2.0(-0.17%)"
"4381","ビープラッツ","東G","504","+7.0(+1.41%)"
"4387","ＺＵＵ","東G","817","+9.0(+1.11%)"
"4388","エーアイ","東G","513","-12.0(-2.29%)"
"4389","プロパティデータバンク","東G","1306","-26.0(-1.95%)"
"4391","ロジザード","東G","1223","-34.0(-2.70%)"
"4393","バンク・オブ・イノベーション","東G","8230","-310.0(-3.63%)"
"4394","エクスモーション","東G","844","-7.0(-0.82%)"
"4395","アクリート","東G","836","-8.0(-0.95%)"
"4397","チームスピリット","東G","417","+8.0(+1.96%)"
"4412","サイエンスアーツ","東G","629","+12.0(+1.94%)"
"4413","ボードルア","東G","4750","-50.0(-1.04%)"
"4414","フレクト","東G","1884","-65.0(-3.34%)"
"4415","ブロードエンタープライズ","東G","750","-24.0(-3.10%)"
