"コード","銘柄名","市場","現在値","前日比(%)"
"1631","ＮＦ銀行ＴＰＸ１７","東ETF","21030.0","-370.0(-1.73%)"
"1632","ＮＦ金融（除く銀行）ＴＰＸ１７","東ETF","27765.0","-70.0(-0.25%)"
"1633","ＮＦ不動産ＴＰＸ１７","東ETF","38440.0","-160.0(-0.41%)"
"163A","半導体フォーカス日本株ＥＴＮ","東ETF","8261.0","-287.0(-3.36%)"
"1651","ｉＦ　ＴＯＰＩＸ高配当４０","東ETF","2051.0","-28.0(-1.35%)"
"1652","ｉＦ　ＭＳＣＩ日本株女性活躍","東ETF","3185.0","+0.0(+0.00%)"
"1653","ｉＦ　ＭＳＣＩＥＳＧセレクト","東ETF","3472.0","-68.0(-1.92%)"
"1654","ｉＦ　ＦＴＳＥブロッサム","東ETF","-","- (-%)"
"1655","ｉＳ　Ｓ＆Ｐ５００米国株","東ETF","634.1","-9.2(-1.43%)"
"1656","ｉＳコア米国債７―１０年","東ETF","297.9","+2.4(+0.81%)"
"1657","ｉＳコアＭＳＣＩ先進国株","東ETF","5270.0","-70.0(-1.31%)"
"1658","ｉＳコアＭＳＣＩ新興国株","東ETF","2710.0","-62.0(-2.24%)"
"1659","ｉＳ米国リート","東ETF","3310.0","+20.0(+0.61%)"
"165A","ＳＢＩレオスひふみ","東G","203","-5.0(-2.40%)"
"1660","ＭＸＳ高利回りＪリート","東ETF","9800.0","-100.0(-1.01%)"
"1662","石油資源開発","東P","1137","+15.0(+1.34%)"
"1663","Ｋ＆Ｏエナジーグループ","東P","3165","-55.0(-1.71%)"
"166A","タスキＨＬＤＧ","東G","645","-11.0(-1.68%)"
"1671","ＷＴＩ原油価格連動型上場投信","東ETF","3085.0","+45.0(+1.48%)"
"1672","ＷＴ　金","東ETF","40090.0","-260.0(-0.64%)"
"1673","ＷＴ　銀","東ETF","4287.0","-56.0(-1.29%)"
"1674","ＷＴ　白金","東ETF","13335.0","-185.0(-1.37%)"
"1675","ＷＴ　パラジウム","東ETF","12910.0","-150.0(-1.15%)"
"1676","ＷＴ　貴金属バスケット","東ETF","25055.0","-645.0(-2.51%)"
"1677","上場インデックスファンド外債","東ETF","54740.0","-60.0(-0.11%)"
"1678","ＮＦインドＮＩＦＴＹ５０","東ETF","315.7","-3.5(-1.10%)"
"1679","ＮＹダウ・インデックス上場投信","東ETF","53030.0","-440.0(-0.82%)"
"167A","リョーサン菱洋ＨＬＤＧ","東P","2502","-60.0(-2.34%)"
"1680","上場ＭＳＣＩ―ＫＯＫＵＳＡＩ","東ETF","6002.0","-83.0(-1.36%)"
"1681","上場ＭＳＣＩ　エマージング","東ETF","2038.0","-58.0(-2.77%)"
"1684","ＷＴ　ブロード","東ETF","1799.0","+0.0(+0.00%)"
"1685","ＷＴ　エネルギー","東ETF","569.3","+6.5(+1.15%)"
"1686","ＷＴ　産業用金属","東ETF","2300.0","-10.5(-0.45%)"
"1687","ＷＴ　農産物","東ETF","938.5","-14.5(-1.52%)"
"1688","ＷＴ　穀物","東ETF","539.6","-5.7(-1.05%)"
"1689","ＷＴ　天然ガス","東ETF","1486.0","-10.0(-0.67%)"
"168A","イタミアート","東G","1002","-27.0(-2.62%)"
"1690","ＷＴ　ＷＴＩ　原油","東ETF","1480.5","+27.5(+1.89%)"
"1691","ＷＴ　ガソリン","東ETF","8168.0","+218.0(+2.74%)"
"1692","ＷＴ　アルミニウム","東ETF","504.2","-9.6(-1.87%)"
"1693","ＷＴ　銅","東ETF","6114.0","+10.0(+0.16%)"
"1694","ＷＴ　ニッケル","東ETF","2104.5","-5.5(-0.26%)"
"1695","ＷＴ　小麦","東ETF","3130.0","-60.0(-1.88%)"
"1696","ＷＴ　とうもろこし","東ETF","3265.0","-55.0(-1.66%)"
"1697","ＷＴ　大豆","東ETF","3790.0","-1.0(-0.03%)"
"1698","上場東証配当フォーカス１００","東ETF","3020.0","-4.0(-0.13%)"
"1699","ＮＦ原油インデックス連動型上場","東ETF","406.4","+5.8(+1.45%)"
"170A","ＳＭＴ日本好配当株アクティブ","東ETF","1969.0","-30.0(-1.50%)"
"1711","ＳＤＳＨＬＤＧ","東S","304","-4.0(-1.30%)"
"1712","ダイセキ環境ソリューション","東S","1176","-37.0(-3.05%)"
"1716","第一カッター興業","東S","1392","-10.0(-0.71%)"
"1717","明豊ファシリティワークス","東S","932","-11.0(-1.17%)"
"1718","美樹工業","東S","4895","+20.0(+0.41%)"
"1719","安藤・間","東P","1350","-13.0(-0.95%)"
"1720","東急建設","東P","780","+0.0(+0.00%)"
"1721","コムシスＨＬＤＧ","東P","3180.0","-44.0(-1.36%)"
"1723","日本電技","東S","3730","-85.0(-2.23%)"
"1724","シンクレイヤ","東S","648","+0.0(+0.00%)"
"1726","ビーアールＨＬＤＧ","東P","339","-3.0(-0.88%)"
"1730","麻生フオームクリート","東S","677","+0.0(+0.00%)"
"1736","オーテック","東S","3895","-60.0(-1.52%)"
"1738","ＮＩＴＴＯＨ","名M","521","+1.0(+0.19%)"
"173A","ハンモック","東G","1440","-5.0(-0.35%)"
"1743","コーアツ工業","東S","1303","-7.0(-0.53%)"
"1757","創建エース","東S","19","-1.0(-5.00%)"
"1758","太洋基礎工業","東S","1779","+18.0(+1.02%)"
"175A","Ｗｉｌｌ　Ｓｍａｒｔ","東G","830","-18.0(-2.12%)"
"1762","高松コンストラクショングループ","東P","2683","-27.0(-1.00%)"
"1764","工藤建設","東S","2626","+0.0(+0.00%)"
"1766","東建コーポレーション","東P","12590","-40.0(-0.32%)"
"1768","ソネック","東S","852","-6.0(-0.70%)"
"176A","レジル","東G","2365","-2.0(-0.08%)"
"1770","藤田エンジニアリング","東S","1495","-2.0(-0.13%)"
"1771","日本乾溜工業","福","960","+0.0(+0.00%)"
"1773","ワイ・ティー・エル","東P","67","-1.0(-1.47%)"
"1776","三井住建道路","東S","1185","-23.0(-1.90%)"
"1777","川崎設備工業","名M","915","-18.0(-1.93%)"
"177A","コージンバイオ","東G","1693","-57.0(-3.26%)"
"1780","ヤマウラ","東P","1287","-23.0(-1.76%)"
"1783","ｆａｎｔａｓｉｓｔａ","東S","40","-2.0(-4.76%)"
"1786","オリエンタル白石","東P","375","-5.0(-1.32%)"
"1787","ナカボーテック","東S","4915","+60.0(+1.24%)"
"1788","三東工業社","東S","3830","-30.0(-0.78%)"
"178A","ＧＸ　革新的優良企業","東ETF","1140.0","-38.0(-3.23%)"
"1793","大本組","東S","1274","-26.0(-2.00%)"
"1795","マサル","東S","3850","+0.0(+0.00%)"
"1798","守谷商会","東S","3550","+0.0(+0.00%)"
"1799","第一建設工業","東S","2538","+8.0(+0.32%)"
"179A","ＧＸ　超長期米国債　有","東ETF","285.6","+0.6(+0.21%)"
"1801","大成建設","東P","6756.0","-106.0(-1.54%)"
"1802","大林組","東P","2023.0","-2.0(-0.10%)"
"1803","清水建設","東P","1378.5","+7.5(+0.55%)"
"1807","佐藤渡辺","東S","1653","-44.0(-2.59%)"
"1808","長谷工コーポレーション","東P","1975.5","-12.0(-0.60%)"
"180A","ＧＸ　 超長期米国債","東ETF","297.1","+0.4(+0.13%)"
"1810","松井建設","東S","917","-8.0(-0.86%)"
"1811","錢高組","東S","4275","+50.0(+1.18%)"
"1812","鹿島建設","東P","3114.0","-17.0(-0.54%)"
"1813","不動テトラ","東P","2217","-3.0(-0.14%)"
"1814","大末建設","東P","1756","-4.0(-0.23%)"
"1815","鉄建建設","東P","2554","-11.0(-0.43%)"
"181A","ＭＸＳ米国国債１−３ヘッジなし","東ETF","494.5","+0.0(+0.00%)"
"1820","西松建設","東P","4896.0","-12.0(-0.24%)"
"1821","三井住友建設","東P","413","+2.0(+0.49%)"
"1822","大豊建設","東S","3645","-25.0(-0.68%)"
"1826","佐田建設","東S","1124","+1.0(+0.09%)"
"1827","ナカノフドー建設","東S","797","+12.0(+1.53%)"
"1828","田辺工業","東S","1942","-3.0(-0.15%)"
"182A","ＭＸＳ米国国債２０年超ヘッジ無","東ETF","505.0","+0.0(+0.00%)"
"1832","北海電工","札","860","-2.0(-0.23%)"
"1833","奥村組","東P","4275","-25.0(-0.58%)"
"1835","東鉄工業","東P","3060","+5.0(+0.16%)"
"183A","ＭＸＳ米国国債２０年超ヘッジ有","東ETF","499.9","+0.1(+0.02%)"
"1840","土屋ＨＬＤＧ","東S","220","-7.0(-3.08%)"
"1841","サンユー建設","東S","1027","-3.0(-0.29%)"
"1844","大盛工業","東S","256","-7.0(-2.66%)"
"1847","イチケン","東S","2790","-17.0(-0.61%)"
